en	kw
No. You didn’t chat.	Na wrussowgh. Ny wrussowgh hwi klappya.
This caused tension with the Boers (Dutch settlers) and was one of the many causes of the Second Boer War in 1899. (X1459/2/72)	Henn a gawsyas tynder gans an tus Voer (trevesigoryon iseldiryek) hag a veu onan a skilys pals an Nessa Bresel Voer yn 1899. (X1459/2/72)
This, along with numerous other products, was shipped around the world from their works and docks in Hayle.	Homma, keffrys ha lies askorras aral, a veu treusperthys a-dro dhe’n bys a’ga hwelyow ha porthow yn Heyl.
Cornwall Councillor for Redruth South 	Konseler Kernow rag Resrudh Soth
He should be available in an hour.	Y kodh dhodho bos kavadow yn unn eur.
You are fishing.	Yth esowgh hwi ow pyskessa.
However an increasing number of people are being seriously injured on our roads and there is more to do.	Byttegyns yma myns ow kressya a dus yw shyndys yn sevur war agan fordhow hag yma moy dhe wul.
A huge proportion of the collections held at Kresen Kernow link to the Church of England, founded by Henry VIII in 1534.	Niver bras a'n kuntellow synsys yn Kresen Kernow yw junys orth Eglos Pow Sows, selys gans Henri VIII yn 1534.
Do I want to get a table?	A vynnav vy kavos moos?
Cabinet Member for Environment and Climate Change	Esel an Kabinet rag Kerghynnedh ha Chanj Hin
We are delighted at the uptake of the places available.	Yth on ni pur lowen orth an degemeryans a'n leow kavadow.
Many miners sought work elsewhere around the world and their story is covered in our Cornwall at Home and Away online exhibition.	Lies den bal a hwilas ober yn ken leow a-dro dhe’n bys ha’ga hwedhel yw dyghtys y’gan diskwedhyans warlinen Kernow Tre ha Dhe-Ves.
You mean that the book was too difficult for you.	Ty a styr bos an lyver re gales ragos.
Cornwall has been mined for its minerals from the Bronze Age, some 4000 years ago up to the present day.	Balweyth re beu kowlwrys yn Kernow rag hy monow a'n Oos Brons, nans yw neb 4000 bledhen bys y’n jydh hedhyw.
Grammar practice	Praktis gramasek
Dedications	Omriansow
Recognition of the economic strengths and challenges and unique natural assets coupled with a passion and commitment to raise aspiration and inspire the next generation have brought the St Ives Town Board together around their ambition to build on the tapestry of assets in St Ives to embed sustainability, attract new businesses and strengthen the vital ecosystem of community and cultural assets.	Aswonvos a'n krevderyow ha chalenjys erbysek ha’n kerthow naturel unnik war-barth gans passhyon hag omrians dhe dhrehevel ughelhwans keffrys aweni an nessa henedh re dhros war-barth Kesva an Dre Porthia a-dro dh'aga ughelhwans a dhrehevel war an vrithlen a gerthow yn Porthia rag ynplansa sostenandewder, tenna negysyow nowydh ha krevhe an ekosystem essensek a gerthow kemenethek ha gonisogethel.
We have already begun this process and over the next twelve months will be working with partners to seek new powers and freedoms so we can take greater control over our own affairs.	Ni re dhallathas seulabrys an argerdh ma ha dres an nessa dewdhek mis ni a wra oberi gans kesparow dhe hwilas gallosow nowydh ha rydhses may hyllyn ni kemeres moy a gontrol a'gan negysyow agan honan.
Can originate from anywhere and be from anytime, but must include information about the history and transmission within the community concerned.	Y hyll dos dyworth py le pynag ha bos dyworth py prys pynag, mes res yw dhodho komprehendya kedhlow a-dro dhe'n istori ha treuskaryans a-ji dhe'n gemeneth ma.
I am easygoing.	Hebask ov vy.
The Countryside Code	Koden An Powdir
We have witnessed 3 billion sunrises and sunsets	Ni re destas tri bilvil howlsevel ha howsedhes
Several of the tapestries are on display at Kresen Kernow at any one time, and the rest can be seen by visiting our strongrooms (by pre-arrangement only).	Pub prys yma nebes a’n brithlennow displetys yn Kresen Kernow, hag y hyllir gweles an re erel dre vysytya agan stevellow diogel (dre ragerghi hepken).
Am I the postman?	Ov vy an lytherwas?
What do you drink in the morning?	Pandr'a wre'ta eva myttinweyth?
My wallet has been stolen.	Ow skrypp re beu ledrys.
We must make sure that no-one is left behind, and that the Cornwall we are working towards is a Cornwall for one and all.	Res yw dhyn ni surhe nag yw denvyth gesys war agan lergh, ha bos an Gernow hag eson ni ow strivya hy havos, yw Kernow rag onan hag oll.
The next morning, there was a treasure hunt for the children of the area.	Ternos, yth esa Helgh Tresor rag fleghes an ranndir.
You went to the café every day when you worked in Truro.	Ty a wrug mos dhe'n koffiji pub dydh pan wruss'ta oberi yn Truru.
We have employed more staff to deliver the new services along with a new fleet of vehicles. 	Ni re arvethys moy a vayni dhe dhelivra an gonisyow nowydh keffrys ha lu kerri nowydh.
for better,	rag neppyth gwell,
No. You never eat breakfast.	Na wredh. Ny wre'ta dybri hansel nevra.
50 and still going strong	50 ha pesya hwath yn krev
The Guardians of the deep	 Gwithysi an downvor
Our nephew says that we work in a big office.	Agan noy a lever yth oberyn ni yn sodhva vras.
Connected to culture; Connected to commerce; Connected to ideas.	Junys dhe wonisogeth; Junys dhe genwerth; Junys dhe dybyansow.
I love Hayle because there's so much history here.	My a gar Heyl awos bos kemmys istori omma.
Learner	Dysker
For more pictures search our catalogues for ‘Buffalo Bill’.	"Rag imajys moy hwilewgh agan menegvaow rag ""Buffalo Bill""."
Look Out	Pennolva
Am I in a relationship?	Ov vy kelmys?
Zone 3 - Satellites	Parth 3 - Lorellow
BY CAR	YN KARR
You can download The Kresen Kernow Guide to Family History here.	Ty a yll iskarga omma Gidlyver Kresen Kernow orth Istori Teylu.
I went to Tokyo by plane.	My a wrug mos dhe Tokyo yn jynn ebron.
Cornwall will be free	Y fydh Kernow rydh
Did I sleep quietly?	A wrug vy koska yn kosel?
The Cornwall economy has been adversely impacted by the Covid pandemic and we face environmental challenges.	Shyndys re beu erbysiedh Kernow gans an pandemik Kovid, hag orth agan enebi yw chalenjys kerghynedhel.
Because you like elephants.	Drefen bos da genowgh olifansow.
This a double-edged sword for cultural identity.	Hemm yw kledha dewvin rag honanieth wonisogethel.
Their contract is ready to be signed.	Yma aga hevambos parys dhe vos sinys.
jib(s) [sail type]	gool a-rag (golyow a-rag)
We want to know what the salary is.	Ni a vynn godhvos pygemmys yw an gober.
We’ve set up six task stations - your challenge is to find them, complete them, and outscore your friends. 	Ni re restras hwegh gorsav oberen – agas chalenj yw dh’aga havos, aga howlwul, ha gorskorya agas kowetha.
The place at the edge of the abyss	An tyller orth amal an islonk
He is bald	Mool yw ev.
Take those...	Kemmer an re na...
I am a policeman.	Gwithyas kres ov vy.
Add up your points. 	Kevrivewgh agas poyntow.
Check-in not allowed	Difennys yw daskor
Counselling	Kussulyans
Did they go in your car?	A wrussons i mos yn dha garr?
The road now forks and you can continue right up to Bodmin Road and on to Menacuddle Well (See Menacuddle Walk), or turn left and continue with the Walk.	Yma gowl y’n fordh lemmyn hag y hyllir yskynna bys dhe Fordh Bosvena ha pella dhe Fenten Menydhgwydhel (Gwelewgh Kerdh Menydhgwydhel), po treylya dhe'n kledh dhe besya gans an Kerdh.
You like painting.	Da yw genes lymna.
Email to enquiries@cornwall.gov.uk	Ebostyewgh dhe enquiries@cornwall.gov.uk
Little dwelling	Bodyn an Lowarther 
Because all the administration was provided by volunteers then perhaps not everything was captured and shared, and if your film or meme was missed then we would love you to post it to the facebook page here:	Drefen bos an menystrans oll proviys gans bodhogyon, martesen ny veu puptra kachyes ha kevrynnys, ha mar fyllis agas fylm po 'meme' da via genen mar mynnsewgh y bostya dhe'n folen Lyverenep omma:
Yes. They will buy it in Truro.	Gwrons. I a wra y brena yn Truru.
In the early years, the Leach Pottery had to mix its own clay.	Yn bledhynnyow a-varr, yth esa edhom dhe Briweythva Leach a gemyski hy fri hy honan.
Did you buy food for us?	A wruss'ta prena boos ragon?
Social Use of Indigenous, Minority and Lesser-Used Languages;	Devnydh social a Yethow Genesik, Minoryta ha Le Usys;
The printing company on the corner, with its wide entrance, was the site of the old Savoy Theatre.	An kowethas pryntya orth an gornel, ledan y entrans, o le an hen Wariva Savoy.
scrubs	glaswisk
Will I be paid weekly?	A vedhav vy peys pub seythen?
People’s Choice Winner	Gwaynyer Dewis an Werin
It has been chosen after consultation with members of the Cornwall SACRE, including teachers and school leaders from both primary and secondary sectors, and I would like to acknowledge the unstinting work of SACRE, and other colleagues and partners, who have worked hard to make sure good RE resources can be a reality for every school. The syllabus offers valuable support to teachers who are less confident about how to approach the subject, and provides a suitable stretch for those who are more experienced. I am pleased to recommend it to Cornwall’s schools.	Re beu dewisys wosa keskussulyans gans eseli an SACRE Kernow, y'ga mysk dyskadoryon ha ledyoroyon skol a-dhyworth ranngylghyow kynsa ha nessa, ha my a vynnsa aswon an ober heb lett a SACRE, ha kesoberoryon ha kesparow erel, neb re oberas yn kales dhe surhe asnodhow AK da a yll bos gwirvos rag pub skol. An dyskevres a wra offra skoodhyans talvosek dhe dhyskadoryon gans le a fydhyans yn- kever fatel dhe neshe an desten, ha provia ystyn ewn rag an re na gans moy a brevyans. Pes da ov dh'y gomendya dhe skolyow Kernow.
Your cat is lovely.	Dha gath yw teg.
You would like to know some information regarding language courses.	Hwi a vynnsa godhvos nebes kedhlow a-dro dhe steusow yethow.
You'll wait five minutes. You must wait five minutes.	Ty a wra gortos pymp mynysen. Res yw dhis gortos pymp mynysen.
I have worked as a postman.	My re oberas avel lytherwas.
It’s up to you to decide how you would like to answer each question.	Agas dewis yw ervira fatel vynnsowgh gorthebi pub govyn.
TRUST NEWS	NOWODHOW AN TREST
You are in the hospital.	Yth esowgh hwi y'n klavji.
Yes. You are on the beach.	Esowgh. Yth esowgh hwi war an treth.
A focus on housing is an opportunity to improve health, reduce inequalities and to lessen the impact of ill health on local health and care services.	Fog orth anedhow yw chons dhe wellhe yeghes, lehe dibarderyow ha lehe an effeyth a yeghes drog war wonisyow teythyek yeghes ha gwith.
Dearest friends, today is a very special day, not only for Georgie and myslef, but for our families too.	A gowetha ger, dydh arbennik yw hedhyw, ha nyns yw rag Georgie ha my hepken, mes rag agan teyluyow keffrys. 
You like history. You happily read books about Rome.	Da yw genes istori. Ty a red lyvrow a-dro dhe Rom yn lowen.
The submission must provide evidence that the practicing community has consented to the item of living heritage being submitted to the inventories.	Res yw dhe’n submyttyans provia dustuni re agrias an gemeneth ow praktisya dhe'n dra a ertach bew ow pos submyttys dhe’n rolyow gwara. 
You like travelling.	Da yw genes viajya.
What will they eat in Cornwall?	Pandr'a wrons i dybri yn Kernow?
Are you playing chess?	Esowgh hwi ow kwari gwydhbol?
Its creation has seeded the partnerships needed for delivery to ensure we have more nature and that it is bigger, better and joined up.	Y wrians re hasas an keskowethyansow yw res rag delivrans dhe surhe bos moy natur dhyn hag y vos brassa, gwell ha kesjunys.
They have worked for the last ten years.	I re oberas dres an diwettha deg bledhen.
We can take a free level test.	Ni a yll gul prov nivel heb kost.
The collection includes more than 50 letters full of rich detail about life on the mining frontier sent home from Richard Scoble in North America to his family in Devoran.	An kuntel a’n jeves moy es 50 lyther leun a vanylyon rych ow tochya bewnans war an or valweyth, danvenys tre gans Richard Scoble a Amerika Kledh dh’y deylu yn Deveryon.
C7.8 Journals	C7.8 Jornalys
Congratulations	Keslowena
fore	a-rag
You're strong. You're not as strong as me.	Krev os ta. Nyns os ta mar grev avelov.
Do we read history books?	A wren ni redya lyvrow istori?
I would like to thank everyone who has helped develop this Strategy and in particular those Partners who will help up us deliver the priorities contained within it to prevent homelessness and rough sleeping in Cornwall.	My a garsa aswon gras dhe bubonan re weresas displegya an Strateji ma hag yn arbennik an Keskowetha na a wra agan gweres delivra an ragwiryow synsys ynno dhe lettya dianethter ha garowgoska yn Kernow.
You can't dance because you are too tired.	Ny yllowgh hwi donsya drefen agas bos re skwith.
Nominated for a TAPS writer of the year award, she wrote on the series THE TRIBE and REVELATIONS. Marie has been commissioned to write five feature films and has had one feature optioned.	Henwys rag pewas skrifer an vledhen TAPS, hi a skrifas a-dro dhe'n kevresow THE TRIBE ha REVELATIONS. Marie re beu erghys dhe skrifa pymp fylm hir hag onan anedha re beu ros kevambos.
You drink coffee.	Hwi a yv koffi.
May the rain fall softly and the wind always be at your back	An glaw re gottho yn kosel ha'n gwyns pub prys orth dha geyn
Will I learn Swedish?	A wrav vy dyski Swedek?
Short Drama (Up to 30 Mins)	Drama Berr (Bys dhe 30 Mynysen)
It takes away today's peace.	Ev a gemmer dhe-ves kres a hedhyw.
Senior Front of House Supervisor	Ughworwolyas Bleyn Chi
Crew	Mayni
Do we like to drink tea?	Yw da genen eva te?
You have been made redundant.	Hwi re beu gwrys dres nivera.
They're allergic to antibiotics.	I yw allergek dhe antibiotygyon.
People Strategy	Strateji Tus
Net Zero	Ylyn Mann
In France, Urbain Le Verrier was working on the same mystery.	Yth esa yn Pow Frynk Urbain Le Verrier owth oberi war an keth rin.
